-- 1. List of Managers with all their Workers:

Managers,Workers
NULL,"Andrew Fuller"
"Andrew Fuller","Laura Callahan"
"Andrew Fuller","Nancy Davolio"
"Andrew Fuller","Janet Leverling"
"Andrew Fuller","Margaret Peacock"
"Andrew Fuller","Steven Buchanan"
"Steven Buchanan","Michael Suyama"
"Steven Buchanan","Robert King"
"Steven Buchanan","Anne Dodsworth"

------------------------------------------------------------------------------------------------

-- 2. Lists Managers with number of people working under them

employeeID,Managers,Number_of_Workers
QUEEN,"Rssle Sauerkraut",1528.8000
QUEEN,"Inlagd Sill",76.0000
QUEEN,"Boston Crab Meat",29.4000
OTTIK,"Queso Cabrales",504.0000
OTTIK,Gudbrandsdalsost,432.0000
OTTIK,Flotemysost,258.0000
FOLIG,"Gravad lax",208.0000
FOLIG,Tourtire,35.4000
FOLIG,"Tarte au sucre",1379.0000
OCEAN,Tofu,223.2000
OCEAN,"Sir Rodney's Scones",96.0000
BOTTM,Geitost,98.0000
BOTTM,"Raclette Courdavault",704.0000
BOTTM,"Jack's New England Clam Chowder",192.5000
BOTTM,"Gula Malacca",620.0000
BOTTM,"Raclette Courdavault",396.0000
WARTH,Tofu,372.0000
LAMAI,Chai,345.6000
LAMAI,"Tarte au sucre",1576.0000
LAMAI,Lakkalikri,201.6000
FAMIA,"Teatime Chocolate Biscuits",131.4000
FAMIA,Geitost,100.0000
HUNGC,"Alice Mutton",62.4000
HUNGC,Geitost,40.0000
WARTH,"Teatime Chocolate Biscuits",146.0000
WARTH,"Perth Pasties",262.0000
WARTH,"Ravioli Angelo",312.0000
SIMOB,"Cte de Blaye",10540.0000
SIMOB,Spegesild,19.2000
SIMOB,"Scottish Longbreads",360.0000
SIMOB,"Original Frankfurter grne Soe",364.0000
QUICK,Chang,912.0000
QUICK,"Zaanse koeken",418.0000
QUICK,"Sirop d'rable",364.8000
QUICK,"Longlife Tofu",120.0000
RICSU,"Camembert Pierrot",1632.0000
RICSU,Gudbrandsdalsost,576.0000
WELLI,"Mishi Kobe Niku",1552.0000
WELLI,Konbu,9.6000
WELLI,"Outback Lager",96.0000
WELLI,"Rd Kaviar",240.0000
QUEDE,"Teatime Chocolate Biscuits",29.2000
QUEDE,"Gumbr Gummibrchen",747.0000
QUEDE,"Perth Pasties",393.0000
QUEDE,"Original Frankfurter grne Soe",104.0000
FRANS,"Gumbr Gummibrchen",49.8000
GOURL,"Gorgonzola Telino",140.0000
GOURL,"Raclette Courdavault",880.0000
MEREP,"Steeleye Stout",864.0000
MEREP,"Cte de Blaye",10329.2000
MEREP,"Scottish Longbreads",300.0000
LAMAI,"Pt chinois",192.0000
LAMAI,Lakkalikri,288.0000
GALED,"Gnocchi di nonna Alice",152.0000
GALED,"Wimmers gute Semmelkndel",186.2000
PICCO,Tofu,651.0000
REGGC,Spegesild,192.0000
HUNGO,"Valkoinen suklaa",520.0000
HUNGO,Vegie-spread,1228.5000
ERNSH,"Alice Mutton",1404.0000
ERNSH,"Sir Rodney's Scones",400.0000
ERNSH,"Gnocchi di nonna Alice",912.0000
ERNSH,"Raclette Courdavault",3080.0000
BOTTM,"Alice Mutton",1560.0000
BOTTM,"Boston Crab Meat",735.0000
BOTTM,"Zaanse koeken",228.0000
SPLIR,"Gumbr Gummibrchen",249.0000
SPLIR,Tourtire,236.0000
PRINI,"Gnocchi di nonna Alice",851.2000
FOLKO,"Queso Cabrales",100.8000
FOLKO,Lakkalikri,259.2000
CONSH,Chang,152.0000
CONSH,"Gustaf's Knckebrd",201.6000
CONSH,"Mozzarella di Giovanni",278.0000
BLONP,Spegesild,48.0000
BLONP,"Gnocchi di nonna Alice",1216.0000
BLONP,"Wimmers gute Semmelkndel",798.0000
BLONP,"Rhnbru Klosterbier",148.8000
WARTH,"Perth Pasties",393.0000
TOMSP,"Teatime Chocolate Biscuits",109.5000
TOMSP,"Sasquatch Ale",224.0000
TOMSP,"Ravioli Angelo",234.0000
MEREP,"Queso Manchego La Pastora",456.0000
MEREP,Pavlova,222.4000
MEREP,"Wimmers gute Semmelkndel",159.6000
MEREP,"Longlife Tofu",240.0000
SAVEA,Chang,684.0000
SAVEA,Pavlova,681.1000
SAVEA,"Thringer Rostbratwurst",2376.0000
SAVEA,"Sirop d'rable",2052.0000
OLDWO,"Schoggi Schokolade",1755.0000
ERNSH,"Queso Cabrales",504.0000
ERNSH,Tourtire,472.0000
ERNSH,"Louisiana Hot Spiced Okra",816.0000
REGGC,"Queso Cabrales",100.8000
REGGC,"Rssle Sauerkraut",436.8000
BERGS,"Alice Mutton",312.0000
BERGS,"Gumbr Gummibrchen",373.5000
BERGS,"Steeleye Stout",115.2000
BERGS,"Jack's New England Clam Chowder",231.0000
BERGS,"Chartreuse verte",86.4000
BERGS,Tourtire,88.5000
TOMSP,"Teatime Chocolate Biscuits",87.6000
TOMSP,"Guaran Fantstica",72.0000
TOMSP,"Gorgonzola Telino",30.0000
TOMSP,"Filo Mix",84.0000
RICAR,"Teatime Chocolate Biscuits",292.0000
RICAR,"Louisiana Fiery Hot Pepper Sauce",588.0000
RICAR,Flotemysost,34.4000
RANCH,"Gumbr Gummibrchen",149.4000
RANCH,"Boston Crab Meat",294.0000
BLONP,Ikura,347.2000
BLONP,"Filo Mix",112.0000
BLONP,"Tarte au sucre",1379.0000
VICTE,Ikura,496.0000
VICTE,Tourtire,35.4000
QUICK,"Pt chinois",2304.0000
QUICK,"Wimmers gute Semmelkndel",931.0000
QUICK,"Louisiana Fiery Hot Pepper Sauce",470.4000
QUICK,"Original Frankfurter grne Soe",572.0000
SAVEA,"Rssle Sauerkraut",546.0000
SAVEA,"Gula Malacca",1550.0000
AROUT,Chocolade,153.0000
AROUT,"Outback Lager",300.0000
LAMAI,Pavlova,278.0000
LAMAI,Geitost,40.0000
LAMAI,Spegesild,96.0000
WARTH,"Chartreuse verte",288.0000
WARTH,"Perth Pasties",1310.0000
WARTH,"Sirop d'rable",570.0000
WARTH,Flotemysost,516.0000
KOENE,"Sir Rodney's Scones",320.0000
KOENE,Maxilaku,336.0000
KOENE,"Raclette Courdavault",1584.0000
SUPRD,"Gumbr Gummibrchen",747.0000
SUPRD,"Rssle Sauerkraut",1092.0000
SUPRD,"Ipoh Coffee",736.0000
SUPRD,"Gnocchi di nonna Alice",456.0000
SUPRD,Flotemysost,860.0000
VICTE,"Uncle Bob's Organic Dried Pears",384.0000
VICTE,Spegesild,192.0000
VICTE,"Mozzarella di Giovanni",1112.0000
FOLKO,"Scottish Longbreads",210.0000
FOLKO,"Rhnbru Klosterbier",24.8000
LILAS,"Sir Rodney's Scones",320.0000
LILAS,"Nord-Ost Matjeshering",579.6000
LILAS,"Pt chinois",1152.0000
CONSH,Konbu,4.8000
CONSH,Tunnbrd,151.2000
SUPRD,"Teatime Chocolate Biscuits",153.3000
SUPRD,"Singaporean Hokkien Fried Mee",560.0000
FURIB,"Chef Anton's Cajun Seasoning",281.6000
FURIB,"Ipoh Coffee",110.4000
FURIB,"Gnocchi di nonna Alice",912.0000
FURIB,"Camembert Pierrot",544.0000
VAFFE,"Guaran Fantstica",90.0000
VAFFE,"Thringer Rostbratwurst",1782.0000
VAFFE,"Boston Crab Meat",294.0000
VAFFE,"Rogede sild",228.0000
VAFFE,"Valkoinen suklaa",325.0000
COMMI,"Queso Cabrales",168.0000
COMMI,Spegesild,48.0000
MAGAA,"Guaran Fantstica",100.8000
MAGAA,"NuNuCa Nu-Nougat-Creme",134.4000
KOENE,"Nord-Ost Matjeshering",165.6000
KOENE,"Ipoh Coffee",552.0000
WHITC,Chang,608.0000
WHITC,Pavlova,486.5000
WHITC,"Gula Malacca",31.0000
BONAP,"Carnarvon Tigers",1500.0000
BONAP,Tunnbrd,108.0000
BONAP,"Wimmers gute Semmelkndel",212.8000
BSBEV,"Uncle Bob's Organic Dried Pears",720.0000
BSBEV,"Gnocchi di nonna Alice",608.0000
SEVES,"Guaran Fantstica",288.0000
SEVES,"Manjimup Dried Apples",763.2000
ISLAT,Geitost,24.0000
ISLAT,Flotemysost,206.4000
PERIC,Tofu,223.2000
PERIC,"Rssle Sauerkraut",655.2000
PERIC,"Boston Crab Meat",308.7000
PERIC,"Rhnbru Klosterbier",62.0000
SUPRD,"Gorgonzola Telino",350.0000
SUPRD,"Louisiana Hot Spiced Okra",816.0000
SUPRD,Lakkalikri,604.8000
HILAA,"Pt chinois",38.4000
HILAA,"Outback Lager",144.0000
PRINI,Chai,216.0000
PRINI,"Sir Rodney's Scones",168.0000
PRINI,"Chartreuse verte",288.0000
VICTE,Ikura,496.0000
RATTC,"Cte de Blaye",6324.0000
RATTC,"Perth Pasties",733.6000
RATTC,"Raclette Courdavault",2640.0000
RATTC,"Wimmers gute Semmelkndel",798.0000
FOLIG,"Zaanse koeken",228.0000
FOLIG,"Raclette Courdavault",528.0000
RICAR,Maxilaku,384.0000
RICAR,"Camembert Pierrot",1088.0000
LAZYK,"Boston Crab Meat",147.0000
WHITC,"Sasquatch Ale",392.0000
WHITC,"Original Frankfurter grne Soe",312.0000
BSBEV,"Sir Rodney's Scones",112.0000
BSBEV,"Boston Crab Meat",147.0000
BSBEV,"Manjimup Dried Apples",127.2000
LINOD,Chang,304.0000
LINOD,"Aniseed Syrup",160.0000
LINOD,"Pt chinois",576.0000
LINOD,"Outback Lager",720.0000
HILAA,"Queso Cabrales",84.0000
HILAA,"Manjimup Dried Apples",1060.0000
HILAA,"Longlife Tofu",128.0000
QUEEN,"Teatime Chocolate Biscuits",36.5000
QUEEN,"Gumbr Gummibrchen",747.0000
QUEEN,Tourtire,141.6000
FRANK,"Raclette Courdavault",1320.0000
FRANK,"Rd Kaviar",240.0000
PICCO,"Queso Cabrales",252.0000
PICCO,Pavlova,250.2000
HILAA,"Raclette Courdavault",2640.0000
HILAA,"Scottish Longbreads",300.0000
HILAA,"Rhnbru Klosterbier",223.2000
FURIB,"Gula Malacca",232.5000
FURIB,"Original Frankfurter grne Soe",72.8000
BOTTM,"NuNuCa Nu-Nougat-Creme",672.0000
BOTTM,"Singaporean Hokkien Fried Mee",224.0000
LAMAI,"Louisiana Fiery Hot Pepper Sauce",252.0000
LAMAI,"Louisiana Hot Spiced Okra",136.0000
LAMAI,Gudbrandsdalsost,288.0000
COMMI,"Gnocchi di nonna Alice",912.0000
LAUGB,Tunnbrd,72.0000
LAUGB,"Jack's New England Clam Chowder",154.0000
LAUGB,"Original Frankfurter grne Soe",52.0000
TRADH,"Gorgonzola Telino",200.0000
LEHMS,"Gnocchi di nonna Alice",425.6000
LEHMS,"Mozzarella di Giovanni",695.0000
LEHMS,"Original Frankfurter grne Soe",260.0000
HILAA,"Guaran Fantstica",63.0000
HILAA,"Boston Crab Meat",92.0000
HILAA,"Singaporean Hokkien Fried Mee",420.0000
LILAS,"Rssle Sauerkraut",912.0000
LILAS,Maxilaku,500.0000
LAMAI,"Genen Shouyu",186.0000
LAMAI,"Rssle Sauerkraut",364.8000
BLAUS,Tourtire,149.0000
PERIC,"Rogede sild",199.5000
PERIC,"Perth Pasties",196.8000
PERIC,"Laughing Lumberjack Lager",420.0000
HUNGO,Tofu,1627.5000
HUNGO,"Louisiana Fiery Hot Pepper Sauce",421.0000
WHITC,Chang,228.0000
WHITC,"Sir Rodney's Scones",120.0000
WHITC,"Perth Pasties",328.0000
WHITC,"Sirop d'rable",712.5000
MEREP,"Tarte au sucre",147.9000
KOENE,"NuNuCa Nu-Nougat-Creme",252.0000
KOENE,"Outback Lager",210.0000
ANTON,"Ipoh Coffee",690.0000
ANTON,Chocolade,191.2500
OTTIK,Konbu,60.0000
OTTIK,"Chartreuse verte",180.0000
BLAUS,"Rssle Sauerkraut",136.8000
SAVEA,"Thringer Rostbratwurst",4456.4400
SAVEA,"Rhnbru Klosterbier",279.0000
BONAP,"Chef Anton's Cajun Seasoning",1100.0000
BONAP,"Uncle Bob's Organic Dried Pears",1500.0000
BONAP,"Northwoods Cranberry Sauce",400.0000
FAMIA,"Guaran Fantstica",45.0000
FAMIA,Spegesild,108.0000
FAMIA,"Zaanse koeken",57.0000
FAMIA,"Camembert Pierrot",408.0000
WANDK,"Sir Rodney's Scones",400.0000
WANDK,"Mascarpone Fabioli",1600.0000
WANDK,"Sirop d'rable",427.5000
ERNSH,"Sir Rodney's Marmalade",3159.0000
ERNSH,"Rssle Sauerkraut",1596.0000
ERNSH,"Gnocchi di nonna Alice",2660.0000
ERNSH,"Louisiana Fiery Hot Pepper Sauce",820.9500
ERNSH,"Rhnbru Klosterbier",387.5000
QUICK,"Mishi Kobe Niku",1552.0000
QUICK,Pavlova,872.5000
QUICK,"Schoggi Schokolade",5268.0000
QUICK,Geitost,40.0000
QUICK,"Camembert Pierrot",2856.0000
HUNGO,"Carnarvon Tigers",1562.5000
HUNGO,"Jack's New England Clam Chowder",772.0000
HUNGO,"Singaporean Hokkien Fried Mee",280.0000
NORTS,"Filo Mix",42.0000
NORTS,"Raclette Courdavault",220.0000
NORTS,"Outback Lager",90.0000
TORTU,"Guaran Fantstica",22.5000
TORTU,"Cte de Blaye",3952.5000
TORTU,"Gula Malacca",175.0500
CHOPS,Ikura,496.0000
CHOPS,"Gnocchi di nonna Alice",1520.0000
CHOPS,"Camembert Pierrot",340.0000
SANTG,"Guaran Fantstica",36.0000
SANTG,"Perth Pasties",164.0000
CACTU,"Steeleye Stout",54.0000
CACTU,"Jack's New England Clam Chowder",96.5000
CACTU,"Scottish Longbreads",75.0000
LEHMS,Chai,720.0000
LEHMS,"Northwoods Cranberry Sauce",960.0000
LEHMS,"Nord-Ost Matjeshering",517.8000
LEHMS,"Boston Crab Meat",460.0000
SEVES,"Alice Mutton",975.0000
SEVES,"Sir Rodney's Marmalade",1215.0000
SEVES,"Gravad lax",468.0000
SEVES,"Jack's New England Clam Chowder",57.9000
BERGS,Ikura,62.0000
BERGS,"Nord-Ost Matjeshering",258.9000
BERGS,"Ipoh Coffee",2760.0000
BERGS,Tourtire,111.7500
BONAP,"Inlagd Sill",570.0000
BONAP,"Boston Crab Meat",276.0000
WARTH,Chai,144.0000
WARTH,Konbu,60.0000
WARTH,"Gnocchi di nonna Alice",1140.0000
QUICK,"Chef Anton's Cajun Seasoning",1100.0000
QUICK,"Inlagd Sill",570.0000
GREAL,"Queso Cabrales",63.0000
GREAL,Geitost,20.0000
GREAL,"Mozzarella di Giovanni",313.2000
MAISD,"Pt chinois",336.0000
MAISD,"Scottish Longbreads",250.0000
MAISD,Gudbrandsdalsost,360.0000
PICCO,"Alice Mutton",1560.0000
PICCO,"Ipoh Coffee",1150.0000
PICCO,"Sirop d'rable",570.0000
PICCO,Lakkalikri,900.0000
OCEAN,"Raclette Courdavault",110.0000
EASTC,"Nord-Ost Matjeshering",388.3500
EASTC,"Louisiana Hot Spiced Okra",408.0000
FOLKO,"Chef Anton's Cajun Seasoning",1100.0000
FOLKO,"Mozzarella di Giovanni",835.2000
FOLKO,"Rd Kaviar",360.0000
LEHMS,"Nord-Ost Matjeshering",258.9000
LEHMS,"Boston Crab Meat",184.0000
LEHMS,Tourtire,74.5000
ANTON,"Queso Cabrales",1050.0000
ANTON,"Boston Crab Meat",184.0000
ANTON,"Ravioli Angelo",97.5000
ANTON,"Raclette Courdavault",825.0000
LEHMS,"Queso Manchego La Pastora",570.0000
LEHMS,"Gorgonzola Telino",250.0000
LEHMS,Geitost,75.0000
LEHMS,"Camembert Pierrot",1190.0000
RICSU,"Gorgonzola Telino",375.0000
RICSU,"Manjimup Dried Apples",318.0000
RICSU,"Escargots de Bourgogne",265.0000
RICSU,"Mozzarella di Giovanni",730.8000
RICSU,"Rd Kaviar",135.0000
BSBEV,"Outback Lager",105.0000
BSBEV,"Mozzarella di Giovanni",34.8000
BSBEV,Konbu,48.0000
BSBEV,"Sir Rodney's Scones",150.0000
BSBEV,Geitost,37.5000
BSBEV,Maxilaku,120.0000
QUICK,"Aniseed Syrup",600.0000
QUICK,"Gumbr Gummibrchen",1249.2000
QUICK,"Cte de Blaye",7905.0000
QUICK,"Scottish Longbreads",437.5000
HANAR,"Guaran Fantstica",157.5000
HANAR,"Cte de Blaye",1054.0000
HANAR,"Louisiana Fiery Hot Pepper Sauce",757.8000
HANAR,Flotemysost,193.5000
KOENE,"Queso Cabrales",315.0000
KOENE,Tourtire,178.8000
LILAS,"Queso Manchego La Pastora",1140.0000
LILAS,Tunnbrd,630.0000
LONEP,"Rssle Sauerkraut",319.2000
LONEP,"Laughing Lumberjack Lager",98.0000
LAZYK,"Queso Cabrales",210.0000
VICTE,"Uncle Bob's Organic Dried Pears",300.0000
VICTE,"Steeleye Stout",540.0000
VICTE,"Tarte au sucre",1972.0000
SEVES,"Mascarpone Fabioli",768.0000
SEVES,"Inlagd Sill",1140.0000
TOMSP,"Sasquatch Ale",140.0000
TOMSP,"Jack's New England Clam Chowder",135.1000
QUICK,"Gorgonzola Telino",687.5000
QUICK,"Rogede sild",950.0000
QUICK,"Manjimup Dried Apples",2544.0000
GODOS,"Alice Mutton",312.0000
GODOS,"Teatime Chocolate Biscuits",92.0000
GODOS,"Sir Rodney's Scones",60.0000
GODOS,"Sirop d'rable",285.0000
FURIB,Pavlova,698.0000
FURIB,"Steeleye Stout",360.0000
FURIB,"Gula Malacca",778.0000
HILAA,Gudbrandsdalsost,648.0000
HILAA,"Rhnbru Klosterbier",232.5000
WARTH,"Queso Cabrales",315.0000
WARTH,Pavlova,244.3000
WARTH,"Gustaf's Knckebrd",504.0000
WARTH,"Gorgonzola Telino",375.0000
WARTH,"Steeleye Stout",108.0000
OTTIK,Pavlova,523.5000
OTTIK,Tunnbrd,180.0000
OTTIK,"Tarte au sucre",986.0000
OTTIK,"Original Frankfurter grne Soe",130.0000
SAVEA,Tofu,697.5000
SAVEA,"Teatime Chocolate Biscuits",322.0000
SAVEA,"Guaran Fantstica",81.0000
SAVEA,"Manjimup Dried Apples",1060.0000
SAVEA,"Gnocchi di nonna Alice",1520.0000
SIMOB,"Mozzarella di Giovanni",835.2000
LEHMS,"Wimmers gute Semmelkndel",997.5000
LEHMS,"Rhnbru Klosterbier",155.0000
AROUT,"Zaanse koeken",237.5000
AROUT,"Manjimup Dried Apples",1060.0000
AROUT,"Filo Mix",210.0000
AROUT,"Perth Pasties",590.4000
AROUT,"Rd Kaviar",45.0000
BLONP,"Jack's New England Clam Chowder",115.8000
BLONP,"Pt chinois",432.0000
FRANK,"Nord-Ost Matjeshering",517.8000
FRANK,"Tarte au sucre",739.5000
FOLKO,"Gula Malacca",194.5000
FOLKO,"Manjimup Dried Apples",2650.0000
REGGC,Geitost,50.0000
REGGC,"Tarte au sucre",493.0000
RICAR,"Inlagd Sill",475.0000
RICAR,"Filo Mix",490.0000
RATTC,"Alice Mutton",624.0000
RATTC,"Gorgonzola Telino",75.0000
RATTC,"Pt chinois",600.0000
MEREP,"Guaran Fantstica",112.5000
MEREP,"Wimmers gute Semmelkndel",598.5000
BLONP,"Queso Cabrales",735.0000
BLONP,"Carnarvon Tigers",1125.0000
BLONP,Lakkalikri,180.0000
HUNGO,"Gorgonzola Telino",750.0000
HUNGO,"Manjimup Dried Apples",159.0000
HUNGO,"Raclette Courdavault",2200.0000
GALED,Ikura,155.0000
RATTC,"Gorgonzola Telino",437.5000
RATTC,Lakkalikri,540.0000
MEREP,"Queso Cabrales",315.0000
MEREP,"Gnocchi di nonna Alice",2280.0000
ERNSH,Tofu,255.7500
ERNSH,"Singaporean Hokkien Fried Mee",392.0000
BERGS,Pavlova,209.4000
BERGS,"Mascarpone Fabioli",320.0000
BERGS,"Boston Crab Meat",920.0000
BERGS,"Rhnbru Klosterbier",116.2500
ANTON,"Alice Mutton",702.0000
ANTON,"Sasquatch Ale",560.0000
ANTON,"Perth Pasties",820.0000
TRAIH,Geitost,35.0000
TRAIH,"Boston Crab Meat",36.8000
TRAIH,"Tarte au sucre",493.0000
TRAIH,"Wimmers gute Semmelkndel",199.5000
MORGK,"Raclette Courdavault",660.0000
MORGK,Vegie-spread,263.4000
MORGK,"Mozzarella di Giovanni",1044.0000
MORGK,Lakkalikri,180.0000
TORTU,Chai,180.0000
TORTU,"Gorgonzola Telino",250.0000
TORTU,"Gula Malacca",408.4500
TRAIH,"Chartreuse verte",180.0000
TRAIH,"Rhnbru Klosterbier",155.0000
TRAIH,"Original Frankfurter grne Soe",234.0000
BSBEV,"Steeleye Stout",360.0000
BSBEV,"Ravioli Angelo",117.0000
LETSS,"Genen Shouyu",155.0000
LETSS,"Rhnbru Klosterbier",162.7500
OTTIK,Tofu,348.7500
OTTIK,"Jack's New England Clam Chowder",86.8500
OTTIK,"Louisiana Fiery Hot Pepper Sauce",631.5000
FAMIA,"Rhnbru Klosterbier",387.5000
BLAUS,"Ravioli Angelo",78.0000
BLAUS,Lakkalikri,252.0000
WARTH,"Thringer Rostbratwurst",1237.9000
WARTH,"Camembert Pierrot",816.0000
WARTH,Gudbrandsdalsost,360.0000
BLONP,"Gorgonzola Telino",625.0000
WELLI,"Zaanse koeken",142.5000
REGGC,"Filo Mix",28.0000
QUEDE,"Gumbr Gummibrchen",187.3800
QUEDE,"Steeleye Stout",360.0000
QUEDE,"Original Frankfurter grne Soe",260.0000
QUICK,"Carnarvon Tigers",2500.0000
QUICK,"Singaporean Hokkien Fried Mee",1400.0000
GREAL,"Steeleye Stout",72.0000
MEREP,Chai,360.0000
MEREP,"Original Frankfurter grne Soe",780.0000
VAFFE,"Aniseed Syrup",140.0000
VAFFE,"Uncle Bob's Organic Dried Pears",300.0000
