Transaction_Order,CustomerID,Card_Number,Amount_Paid
10350,LAMAI,482774093X4J19,713
10351,ERNSH,3946584871QKE0K,5678
10352,FURIB,6374279616DFPZG,154
10353,PICCO,45573218912C25,10742
10354,PERIC,428316839982B4,569
10355,AROUT,854114886NSMH9,480
10356,WANDK,548523298BTS6,1106
10357,LILAS,3830297Y4HR3,1360
10358,LAMAI,482774093X4J19,452
10359,SEVES,848997076HD467,3654
10360,BLONP,7120355086OO22R,7390
10361,QUICK,342827761A97VG,2274
10362,BONAP,30156146Q58IH,1550
10363,DRACD,356585551O49M1,447
10364,EASTC,148795852672GR3,950
10365,ANTON,698130215FHWRT,403
10366,GALED,815917513VKZUY,136
10367,VAFFE,6174922585ZV4QY,834
10368,ERNSH,3946584871QKE0K,1834
10369,SPLIR,18846151W9DRE,2527
10370,CHOPS,2108732262A94IW,1174
10371,LAMAI,482774093X4J19,91
10372,QUEEN,6789193403VT3T,12281
10373,HUNGO,8227767886WBO20,1708
10374,WOLZA,68180768ZIBQH,459
10375,HUNGC,6617285227WPH3P,338
10376,MEREP,0322433769QNPB6,420
10377,SEVES,848997076HD467,1016
10378,FOLKO,9231689192E42OZ,103
10379,QUEDE,17461681329F2TK,959
10380,HUNGO,8227767886WBO20,1420
10381,LILAS,3830297Y4HR3,112
10382,ERNSH,3946584871QKE0K,2900
10383,AROUT,854114886NSMH9,899
10384,BERGS,54129793UBP0,2222
10385,SPLIR,18846151W9DRE,864
10386,FAMIA,5883343358P0O21,166
10387,SANTG,662984601P7K00,1058
10388,SEVES,848997076HD467,1274
10389,BOTTM,163431679EVYST,1833
10390,ERNSH,3946584871QKE0K,2275
10391,DRACD,356585551O49M1,86
10392,PICCO,45573218912C25,1440
10393,SAVEA,9709565713OZN1V,3303
10394,HUNGC,6617285227WPH3P,442
10395,HILAA,5590413152UL6QV,2333
10396,FRANK,983237721S0FR,1904
10397,PRINI,9189054712W4NNX,843
10398,SAVEA,9709565713OZN1V,2736
10399,VAFFE,6174922585ZV4QY,1766
10400,EASTC,148795852672GR3,3063
10401,RATTC,921906021SBXG6,3869
10402,ERNSH,3946584871QKE0K,2714
10403,ERNSH,3946584871QKE0K,1006
10404,MAGAA,9843428315N5L6V,1675
10405,LINOD,3355923121ZTWQN,400
10406,QUEEN,6789193403VT3T,2018
10407,OTTIK,3579579465RDDGW,1194
10408,FOLIG,3299831713D0O2Z,1622
10409,OCEAN,8318542834HFB21,319
10410,BOTTM,163431679EVYST,802
10411,BOTTM,163431679EVYST,1209
10412,WARTH,2420495851MN4C0,372
10413,LAMAI,482774093X4J19,2123
10414,FAMIA,5883343358P0O21,231
10415,HUNGC,6617285227WPH3P,102
10416,WARTH,2420495851MN4C0,720
10417,SIMOB,24335781929CMTW,11283
10418,QUICK,342827761A97VG,1815
10419,RICSU,731412659EW0Z,2208
10420,WELLI,09624297720KHF,1898
10421,QUEDE,17461681329F2TK,1273
10422,FRANS,0126754474Y28PG,50
10423,GOURL,736978533Y7VGE,1020
10424,MEREP,0322433769QNPB6,11493
10425,LAMAI,482774093X4J19,480
10426,GALED,815917513VKZUY,338
10427,PICCO,45573218912C25,651
10428,REGGC,30133447176CYEU,192
10429,HUNGO,8227767886WBO20,1749
10430,ERNSH,3946584871QKE0K,5796
10431,BOTTM,163431679EVYST,2523
10432,SPLIR,18846151W9DRE,485
10433,PRINI,9189054712W4NNX,851
10434,FOLKO,9231689192E42OZ,360
10435,CONSH,87349263779DTME,632
10436,BLONP,7120355086OO22R,2211
10437,WARTH,2420495851MN4C0,393
10438,TOMSP,6146778D8QNU,568
10439,MEREP,0322433769QNPB6,1078
10440,SAVEA,9709565713OZN1V,5793
10441,OLDWO,63873612465X,1755
10442,ERNSH,3946584871QKE0K,1792
10443,REGGC,30133447176CYEU,538
10444,BERGS,54129793UBP0,1032
10445,BERGS,54129793UBP0,175
10446,TOMSP,6146778D8QNU,274
10447,RICAR,786959053G0EOT,914
10448,RANCH,682813242P31NT,443
10449,BLONP,7120355086OO22R,1838
10450,VICTE,219238247Z36E4,531
10451,QUICK,342827761A97VG,4277
10452,SAVEA,9709565713OZN1V,2096
10453,AROUT,854114886NSMH9,453
10454,LAMAI,482774093X4J19,414
10455,WARTH,2420495851MN4C0,2684
10456,KOENE,9155733615G3SF,656
10457,KOENE,9155733615G3SF,1584
10458,SUPRD,8712985905VJJR,3891
10459,VICTE,219238247Z36E4,1688
10460,FOLKO,9231689192E42OZ,235
10461,LILAS,3830297Y4HR3,2052
10462,CONSH,87349263779DTME,156
10463,SUPRD,8712985905VJJR,713
10464,FURIB,6374279616DFPZG,1848
10465,VAFFE,6174922585ZV4QY,2719
10466,COMMI,43914853C33ZC,216
10467,MAGAA,9843428315N5L6V,235
10468,KOENE,9155733615G3SF,718
10469,WHITC,845398129PFPYE,1126
10470,BONAP,30156146Q58IH,1821
10471,BSBEV,348259866GJZ1Y,1328
10472,SEVES,848997076HD467,1051
10473,ISLAT,796400976S4XYP,230
10474,PERIC,428316839982B4,1249
10475,SUPRD,8712985905VJJR,1771
10476,HILAA,5590413152UL6QV,182
10477,PRINI,9189054712W4NNX,672
10478,VICTE,219238247Z36E4,496
10479,RATTC,921906021SBXG6,10496
10480,FOLIG,3299831713D0O2Z,756
10481,RICAR,786959053G0EOT,1472
10482,LAZYK,6173359847VE2TN,147
10483,WHITC,845398129PFPYE,704
10484,BSBEV,348259866GJZ1Y,386
10485,LINOD,3355923121ZTWQN,1760
10486,HILAA,5590413152UL6QV,1272
10487,QUEEN,6789193403VT3T,925
10488,FRANK,983237721S0FR,1560
10489,PICCO,45573218912C25,502
10490,HILAA,5590413152UL6QV,3163
10491,FURIB,6374279616DFPZG,305
10492,BOTTM,163431679EVYST,896
10493,LAMAI,482774093X4J19,676
10494,COMMI,43914853C33ZC,912
10495,LAUGB,73563787164IZ4D,278
10496,TRADH,7873187266EJ73J,200
10497,LEHMS,361698175KKT3R,1381
10498,HILAA,5590413152UL6QV,575
10499,LILAS,3830297Y4HR3,1412
10500,LAMAI,482774093X4J19,551
10501,BLAUS,24524409392DDHY,149
10502,PERIC,428316839982B4,816
10503,HUNGO,8227767886WBO20,2049
10504,WHITC,845398129PFPYE,1389
10505,MEREP,0322433769QNPB6,148
10506,KOENE,9155733615G3SF,462
10507,ANTON,698130215FHWRT,881
10508,OTTIK,3579579465RDDGW,240
10509,BLAUS,24524409392DDHY,137
10510,SAVEA,9709565713OZN1V,4735
10511,BONAP,30156146Q58IH,3000
10512,FAMIA,5883343358P0O21,618
10513,WANDK,548523298BTS6,2428
10514,ERNSH,3946584871QKE0K,8623
10515,QUICK,342827761A97VG,10589
10516,HUNGO,8227767886WBO20,2615
10517,NORTS,622447489WU774,352
10518,TORTU,8519239451VXQNN,4150
10519,CHOPS,2108732262A94IW,2356
10520,SANTG,662984601P7K00,200
10521,CACTU,9061659187F7D1R,226
10522,LEHMS,361698175KKT3R,2658
10523,SEVES,848997076HD467,2716
10524,BERGS,54129793UBP0,3193
10525,BONAP,30156146Q58IH,846
10526,WARTH,2420495851MN4C0,1344
10527,QUICK,342827761A97VG,1670
10528,GREAL,94460340NBCH4,396
10529,MAISD,256774955IYWCT,946
10530,PICCO,45573218912C25,4180
10531,OCEAN,8318542834HFB21,110
10532,EASTC,148795852672GR3,796
10533,FOLKO,9231689192E42OZ,2295
10534,LEHMS,361698175KKT3R,517
10535,ANTON,698130215FHWRT,2157
10536,LEHMS,361698175KKT3R,2085
10537,RICSU,731412659EW0Z,1824
10538,BSBEV,348259866GJZ1Y,140
10539,BSBEV,348259866GJZ1Y,356
10540,QUICK,342827761A97VG,10192
10541,HANAR,4466698335DENQE,2163
10542,KOENE,9155733615G3SF,494
10543,LILAS,3830297Y4HR3,1770
10544,LONEP,27772236W4ONX,417
10545,LAZYK,6173359847VE2TN,210
10546,VICTE,219238247Z36E4,2812
10547,SEVES,848997076HD467,1908
10548,TOMSP,6146778D8QNU,275
10549,QUICK,342827761A97VG,4182
10550,GODOS,3355074925BG2OU,749
10551,FURIB,6374279616DFPZG,1836
10552,HILAA,5590413152UL6QV,881
10553,WARTH,2420495851MN4C0,1546
10554,OTTIK,3579579465RDDGW,1820
10555,SAVEA,9709565713OZN1V,3681
10556,SIMOB,24335781929CMTW,835
10557,LEHMS,361698175KKT3R,1153
10558,AROUT,854114886NSMH9,2143
10559,BLONP,7120355086OO22R,548
10560,FRANK,983237721S0FR,1257
10561,FOLKO,9231689192E42OZ,2845
10562,REGGC,30133447176CYEU,543
10563,RICAR,786959053G0EOT,965
10564,RATTC,921906021SBXG6,1299
10565,MEREP,0322433769QNPB6,711
10566,BLONP,7120355086OO22R,2040
10567,HUNGO,8227767886WBO20,3109
10568,GALED,815917513VKZUY,155
10569,RATTC,921906021SBXG6,978
10570,MEREP,0322433769QNPB6,2595
10571,ERNSH,3946584871QKE0K,648
10572,BERGS,54129793UBP0,1566
10573,ANTON,698130215FHWRT,2082
10574,TRAIH,5468314939JPLM0,764
10575,MORGK,51100961508RUN,2147
10576,TORTU,8519239451VXQNN,838
10577,TRAIH,5468314939JPLM0,569
10578,BSBEV,348259866GJZ1Y,477
10579,LETSS,7959713495NN0TP,318
10580,OTTIK,3579579465RDDGW,1067
10581,FAMIA,5883343358P0O21,388
10582,BLAUS,24524409392DDHY,330
10583,WARTH,2420495851MN4C0,2414
10584,BLONP,7120355086OO22R,625
10585,WELLI,09624297720KHF,143
10586,REGGC,30133447176CYEU,28
10587,QUEDE,17461681329F2TK,807
10588,QUICK,342827761A97VG,3900
10589,GREAL,94460340NBCH4,72
10590,MEREP,0322433769QNPB6,1140
10591,VAFFE,6174922585ZV4QY,813
10592,LEHMS,361698175KKT3R,544
10593,LEHMS,361698175KKT3R,2493
10594,OLDWO,63873612465X,566
10595,ERNSH,3946584871QKE0K,6300
10596,WHITC,845398129PFPYE,1476
10597,PICCO,45573218912C25,800
10598,RATTC,921906021SBXG6,2389
10599,BSBEV,348259866GJZ1Y,493
10600,HUNGC,6617285227WPH3P,480
10601,HILAA,5590413152UL6QV,2285
10602,VAFFE,6174922585ZV4QY,65
10603,SAVEA,9709565713OZN1V,1508
10604,FURIB,6374279616DFPZG,257
10605,MEREP,0322433769QNPB6,4326
10606,TRADH,7873187266EJ73J,1413
10607,SAVEA,9709565713OZN1V,6475
10608,TOMSP,6146778D8QNU,1064
10609,DUMON,16947120532YCI8,424
10610,LAMAI,482774093X4J19,399
10611,WOLZA,68180768ZIBQH,808
10612,SAVEA,9709565713OZN1V,6375
10613,HILAA,5590413152UL6QV,358
10614,BLAUS,24524409392DDHY,464
10615,WILMK,93979117VN7V,120
10616,GREAL,94460340NBCH4,5032
10617,GREAL,94460340NBCH4,1650
10618,MEREP,0322433769QNPB6,2698
10619,MEREP,0322433769QNPB6,1260
10620,LAUGB,73563787164IZ4D,58
10621,ISLAT,796400976S4XYP,759
10622,RICAR,786959053G0EOT,605
10623,FRANK,983237721S0FR,1430
10624,THECR,9610749262DJ9F2,1393
10625,ANATR,2334963621FBXHC,480
10626,BERGS,54129793UBP0,1504
10627,SAVEA,9709565713OZN1V,1265
10628,BLONP,7120355086OO22R,450
10629,GODOS,3355074925BG2OU,2775
10630,KOENE,9155733615G3SF,918
10631,LAMAI,482774093X4J19,62
10632,WANDK,548523298BTS6,620
10633,ERNSH,3946584871QKE0K,6483
10634,FOLIG,3299831713D0O2Z,4986
10635,MAGAA,9843428315N5L6V,1380
10636,WARTH,2420495851MN4C0,630
10637,QUEEN,6789193403VT3T,2896
10638,LINOD,3355923121ZTWQN,2720
10639,SANTG,662984601P7K00,500
10640,WANDK,548523298BTS6,945
10641,HILAA,5590413152UL6QV,2054
10642,SIMOB,24335781929CMTW,870
10643,ALFKI,217472186648IMA,1086
10644,WELLI,09624297720KHF,1422
10645,HANAR,4466698335DENQE,1535
10646,HUNGO,8227767886WBO20,1928
10647,QUEDE,17461681329F2TK,636
10648,RICAR,786959053G0EOT,383
10649,MAISD,256774955IYWCT,1434
10650,FAMIA,5883343358P0O21,1820
10651,WANDK,548523298BTS6,530
10652,GOURL,736978533Y7VGE,332
10653,FRANK,983237721S0FR,1204
10654,BERGS,54129793UBP0,669
10655,REGGC,30133447176CYEU,193
10656,GREAL,94460340NBCH4,671
10657,SAVEA,9709565713OZN1V,4372
10658,QUICK,342827761A97VG,4668
10659,QUEEN,6789193403VT3T,1292
10660,HUNGC,6617285227WPH3P,1701
10661,HUNGO,8227767886WBO20,703
10662,LONEP,27772236W4ONX,125
10663,BONAP,30156146Q58IH,2032
10664,FURIB,6374279616DFPZG,1516
10665,LONEP,27772236W4ONX,1295
10666,RICSU,731412659EW0Z,4667
10667,ERNSH,3946584871QKE0K,1921
10668,WANDK,548523298BTS6,695
10669,SIMOB,24335781929CMTW,570
10670,FRANK,983237721S0FR,2302
10671,FRANR,8337373735XAEVV,920
10672,BERGS,54129793UBP0,4211
10673,WILMK,93979117VN7V,412
10674,ISLAT,796400976S4XYP,45
10675,FRANK,983237721S0FR,1423
10676,TORTU,8519239451VXQNN,535
10677,ANTON,698130215FHWRT,957
10678,SAVEA,9709565713OZN1V,5257
10679,BLONP,7120355086OO22R,660
10680,OLDWO,63873612465X,1683
10681,GREAL,94460340NBCH4,1327
10682,ANTON,698130215FHWRT,376
10683,DUMON,16947120532YCI8,63
10684,OTTIK,3579579465RDDGW,1768
10685,GOURL,736978533Y7VGE,801
10686,PICCO,45573218912C25,1638
10687,HUNGO,8227767886WBO20,6202
10688,VAFFE,6174922585ZV4QY,3490
10689,BERGS,54129793UBP0,630
10690,HANAR,4466698335DENQE,1150
10691,QUICK,342827761A97VG,10165
10692,ALFKI,217472186648IMA,878
10693,WHITC,845398129PFPYE,2334
10694,QUICK,342827761A97VG,4825
10695,WILMK,93979117VN7V,642
10696,WHITC,845398129PFPYE,996
10697,LINOD,3355923121ZTWQN,1074
10698,ERNSH,3946584871QKE0K,3601
10699,MORGK,51100961508RUN,114
10700,SAVEA,9709565713OZN1V,2048
10701,HUNGO,8227767886WBO20,3370
10702,ALFKI,217472186648IMA,330
10703,FOLKO,9231689192E42OZ,2545
10704,QUEEN,6789193403VT3T,596
10705,HILAA,5590413152UL6QV,378
10706,OLDWO,63873612465X,1893
10707,AROUT,854114886NSMH9,1704
10708,THEBI,773384441J3NKP,180
10709,GOURL,736978533Y7VGE,3424
10710,FRANS,0126754474Y28PG,94
10711,SAVEA,9709565713OZN1V,4452
10712,HUNGO,8227767886WBO20,1238
10713,SAVEA,9709565713OZN1V,2828
10714,SAVEA,9709565713OZN1V,2941
10715,BONAP,30156146Q58IH,1296
10716,RANCH,682813242P31NT,706
10717,FRANK,983237721S0FR,1332
10718,KOENE,9155733615G3SF,3463
10719,LETSS,7959713495NN0TP,1126
10720,QUEDE,17461681329F2TK,550
10721,QUICK,342827761A97VG,973
10722,SAVEA,9709565713OZN1V,1570
10723,WHITC,845398129PFPYE,468
10724,MEREP,0322433769QNPB6,639
10725,FAMIA,5883343358P0O21,288
10726,EASTC,148795852672GR3,655
10727,REGGC,30133447176CYEU,1710
10728,QUEEN,6789193403VT3T,1297
10729,LINOD,3355923121ZTWQN,1850
10730,BONAP,30156146Q58IH,510
10731,CHOPS,2108732262A94IW,1990
10732,BONAP,30156146Q58IH,360
10733,BERGS,54129793UBP0,1459
10734,GOURL,736978533Y7VGE,1498
10735,LETSS,7959713495NN0TP,596
10736,HUNGO,8227767886WBO20,997
10737,VINET,3566902172JGRP,140
10738,SPECD,919914937IWN94,52
10739,VINET,3566902172JGRP,240
10740,WHITC,845398129PFPYE,1770
10741,AROUT,854114886NSMH9,285
10742,BOTTM,163431679EVYST,3118
10743,AROUT,854114886NSMH9,336
10744,VAFFE,6174922585ZV4QY,920
10745,QUICK,342827761A97VG,4530
10746,CHOPS,2108732262A94IW,2312
10747,PICCO,45573218912C25,1913
10748,SAVEA,9709565713OZN1V,2196
10749,ISLAT,796400976S4XYP,1080
10750,WARTH,2420495851MN4C0,1871
10751,RICSU,731412659EW0Z,1701
10752,NORTS,622447489WU774,252
10753,FRANS,0126754474Y28PG,88
10754,MAGAA,9843428315N5L6V,55
10755,BONAP,30156146Q58IH,2598
10756,SPLIR,18846151W9DRE,2488
10757,SAVEA,9709565713OZN1V,3082
10758,RICSU,731412659EW0Z,1645
10759,ANATR,2334963621FBXHC,320
10760,MAISD,256774955IYWCT,3304
10761,RATTC,921906021SBXG6,630
10762,FOLKO,9231689192E42OZ,4337
10763,FOLIG,3299831713D0O2Z,616
10764,ERNSH,3946584871QKE0K,2540
10765,QUICK,342827761A97VG,1684
10766,OTTIK,3579579465RDDGW,2310
10767,SUPRD,8712985905VJJR,28
10768,AROUT,854114886NSMH9,1477
10769,VAFFE,6174922585ZV4QY,1704
10770,HANAR,4466698335DENQE,315
10771,ERNSH,3946584871QKE0K,344
10772,LEHMS,361698175KKT3R,3603
10773,ERNSH,3946584871QKE0K,2216
10774,FOLKO,9231689192E42OZ,875
10775,THECR,9610749262DJ9F2,228
10776,ERNSH,3946584871QKE0K,6985
10777,GOURL,736978533Y7VGE,280
10778,BERGS,54129793UBP0,97
10779,MORGK,51100961508RUN,1335
10780,LILAS,3830297Y4HR3,720
10781,WARTH,2420495851MN4C0,1132
10782,CACTU,9061659187F7D1R,13
10783,HANAR,4466698335DENQE,1443
10784,MAGAA,9843428315N5L6V,1650
10785,GROSR,32389242044GOP9,388
10786,QUEEN,6789193403VT3T,1914
10787,LAMAI,482774093X4J19,2761
10788,QUICK,342827761A97VG,770
10789,FOLIG,3299831713D0O2Z,3687
10790,GOURL,736978533Y7VGE,850
10791,FRANK,983237721S0FR,1926
10792,WOLZA,68180768ZIBQH,400
10793,AROUT,854114886NSMH9,191
10794,QUEDE,17461681329F2TK,393
10795,ERNSH,3946584871QKE0K,2499
10796,HILAA,5590413152UL6QV,2878
10797,DRACD,356585551O49M1,420
10798,ISLAT,796400976S4XYP,447
10799,KOENE,9155733615G3SF,1585
10800,SEVES,848997076HD467,1632
10801,BOLID,29207287114K86W,4036
10802,SIMOB,24335781929CMTW,3924
10803,WELLI,09624297720KHF,1256
10804,SEVES,848997076HD467,2290
10805,THEBI,773384441J3NKP,2775
10806,VICTE,219238247Z36E4,572
10807,FRANS,0126754474Y28PG,18
10808,OLDWO,63873612465X,1660
10809,WELLI,09624297720KHF,140
10810,LAUGB,73563787164IZ4D,187
10811,LINOD,3355923121ZTWQN,852
10812,REGGC,30133447176CYEU,1852
10813,RICAR,786959053G0EOT,648
10814,VICTE,219238247Z36E4,2070
10815,SAVEA,9709565713OZN1V,40
10816,GREAL,94460340NBCH4,8891
10817,KOENE,9155733615G3SF,11491
10818,MAGAA,9843428315N5L6V,833
10819,CACTU,9061659187F7D1R,477
10820,RATTC,921906021SBXG6,1140
10821,SPLIR,18846151W9DRE,678
10822,TRAIH,5468314939JPLM0,238
10823,LILAS,3830297Y4HR3,3108
10824,FOLKO,9231689192E42OZ,251
10825,DRACD,356585551O49M1,1031
10826,BLONP,7120355086OO22R,730
10827,BONAP,30156146Q58IH,843
10828,RANCH,682813242P31NT,932
10829,ISLAT,796400976S4XYP,1764
10830,TRADH,7873187266EJ73J,1974
10831,SANTG,662984601P7K00,2684
10832,LAMAI,482774093X4J19,569
10833,OTTIK,3579579465RDDGW,1008
10834,TRADH,7873187266EJ73J,1508
10835,ALFKI,217472186648IMA,851
10836,ERNSH,3946584871QKE0K,4706
10837,BERGS,54129793UBP0,1254
10838,LINOD,3355923121ZTWQN,2585
10839,TRADH,7873187266EJ73J,920
10840,LINOD,3355923121ZTWQN,264
10841,SUPRD,8712985905VJJR,4581
10842,TORTU,8519239451VXQNN,975
10843,VICTE,219238247Z36E4,212
10844,PICCO,45573218912C25,735
10845,QUICK,342827761A97VG,4059
10846,SUPRD,8712985905VJJR,1112
10847,SAVEA,9709565713OZN1V,6165
10848,CONSH,87349263779DTME,932
10849,KOENE,9155733615G3SF,1052
10850,VICTE,219238247Z36E4,740
10851,RICAR,786959053G0EOT,2740
10852,RATTC,921906021SBXG6,2984
10853,BLAUS,24524409392DDHY,625
10854,ERNSH,3946584871QKE0K,3490
10855,OLDWO,63873612465X,2275
10856,ANTON,698130215FHWRT,660
10857,BERGS,54129793UBP0,2631
10858,LACOR,8469598471MIBRJ,649
10859,FRANK,983237721S0FR,1438
10860,FRANR,8337373735XAEVV,519
10861,WHITC,845398129PFPYE,3523
10862,LEHMS,361698175KKT3R,581
10863,HILAA,5590413152UL6QV,519
10864,AROUT,854114886NSMH9,282
10865,QUICK,342827761A97VG,17250
10866,BERGS,54129793UBP0,1462
10867,LONEP,27772236W4ONX,98
10868,QUEEN,6789193403VT3T,2005
10869,SEVES,848997076HD467,1630
10870,WOLZA,68180768ZIBQH,160
10871,BONAP,30156146Q58IH,2083
10872,GODOS,3355074925BG2OU,2167
10873,WILMK,93979117VN7V,337
10874,GODOS,3355074925BG2OU,310
10875,BERGS,54129793UBP0,730
10876,BONAP,30156146Q58IH,917
10877,RICAR,786959053G0EOT,2086
10878,QUICK,342827761A97VG,1620
10879,WILMK,93979117VN7V,611
10880,FOLKO,9231689192E42OZ,1875
10881,CACTU,9061659187F7D1R,150
10882,SAVEA,9709565713OZN1V,988
10883,LONEP,27772236W4ONX,36
10884,LETSS,7959713495NN0TP,1451
10885,SUPRD,8712985905VJJR,1209
10886,HANAR,4466698335DENQE,3128
10887,GALED,815917513VKZUY,70
10888,GODOS,3355074925BG2OU,605
10889,RATTC,921906021SBXG6,11380
10890,DUMON,16947120532YCI8,860
10891,LEHMS,361698175KKT3R,388
10892,MAISD,256774955IYWCT,2200
10893,KOENE,9155733615G3SF,5502
10894,SAVEA,9709565713OZN1V,2898
10895,ERNSH,3946584871QKE0K,6379
10896,MAISD,256774955IYWCT,751
10897,HUNGO,8227767886WBO20,10835
10898,OCEAN,8318542834HFB21,30
10899,LILAS,3830297Y4HR3,144
10900,WELLI,09624297720KHF,45
10901,HILAA,5590413152UL6QV,935
10902,FOLKO,9231689192E42OZ,1016
10903,HANAR,4466698335DENQE,932
10904,WHITC,845398129PFPYE,1924
10905,WELLI,09624297720KHF,360
10906,WOLZA,68180768ZIBQH,428
10907,SPECD,919914937IWN94,109
10908,REGGC,30133447176CYEU,698
10909,SANTG,662984601P7K00,670
10910,WILMK,93979117VN7V,453
10911,GODOS,3355074925BG2OU,858
10912,HUNGO,8227767886WBO20,8267
10913,QUEEN,6789193403VT3T,959
10914,QUEEN,6789193403VT3T,538
10915,TORTU,8519239451VXQNN,540
10916,RANCH,682813242P31NT,687
10917,ROMEY,21060337760900,366
10918,BOTTM,163431679EVYST,1930
10919,LINOD,3355923121ZTWQN,1123
10920,AROUT,854114886NSMH9,390
10921,VAFFE,6174922585ZV4QY,1936
10922,HANAR,4466698335DENQE,743
10923,LAMAI,482774093X4J19,936
10924,BERGS,54129793UBP0,2035
10925,HANAR,4466698335DENQE,559
10926,ANATR,2334963621FBXHC,514
10927,LACOR,8469598471MIBRJ,800
10928,GALED,815917513VKZUY,138
10929,FRANK,983237721S0FR,1175
10930,SUPRD,8712985905VJJR,2455
10931,RICSU,731412659EW0Z,837
10932,BONAP,30156146Q58IH,1926
10933,ISLAT,796400976S4XYP,921
10934,LEHMS,361698175KKT3R,500
10935,WELLI,09624297720KHF,700
10936,GREAL,94460340NBCH4,570
10937,CACTU,9061659187F7D1R,645
10938,QUICK,342827761A97VG,3643
10939,MAGAA,9843428315N5L6V,750
10940,BONAP,30156146Q58IH,360
10941,SAVEA,9709565713OZN1V,4769
10942,REGGC,30133447176CYEU,560
10943,BSBEV,348259866GJZ1Y,711
10944,BOTTM,163431679EVYST,1139
10945,MORGK,51100961508RUN,245
